408,68.788,36.373,98.829,0.289,0.199
1577,46.994,35.231,43.022,0.197,0.101
4499,50.814,29.481,92.479,0.174,0.117
2550,1406.907,113.450,15741.233,0.607,0.534
1527,155.061,88.454,190.172,0.630,0.446
6171,49.774,18.701,90.911,0.199,0.139
4276,122.166,68.935,171.347,0.492,0.333
5441,106.585,78.694,114.118,0.582,0.352
4283,71.058,40.801,107.023,0.286,0.189
5129,27.123,14.912,49.448,0.075,0.050
4499,50.814,29.481,92.479,0.174,0.117
2550,1406.907,113.450,15741.233,0.607,0.534
1527,155.061,88.454,190.172,0.630,0.446
6171,49.774,18.701,90.911,0.199,0.139
4276,122.166,68.935,171.347,0.492,0.333
5441,106.585,78.694,114.118,0.582,0.352
4283,71.058,40.801,107.023,0.286,0.189
5129,27.123,14.912,49.448,0.075,0.050
